,Q147.OtherInfoAreas,Q147.OtherInfoAreas.Reponse1.Level1,Q147.OtherInfoAreas.Reponse1.Level2,Q147.OtherInfoAreas.Reponse1.Level3,Q147.OtherInfoAreas.Reponse2.Level1,Q147.OtherInfoAreas.Reponse2.Level2,Q147.OtherInfoAreas.Reponse3.Level1,Q147.OtherInfoAreas.Reponse3.Level1,Q147.OtherInfoAreas.Reponse4.Level1,Q147.OtherInfoAreas.Reponse5.Level1,Q147.OtherInfoAreas.Reponse6.Level1,Q147.OtherInfoAreas.Reponse7.Level1,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q150.HelpToImplementChanges.Reponse1.Level1,Q150.HelpToImplementChanges.Reponse1.Level2,Q150.HelpToImplementChanges.Reponse2.Level1,Q150.HelpToImplementChanges.Reponse2.Level2,Q150.HelpToImplementChanges.Reponse3.Level1,Q150.HelpToImplementChanges.Reponse4.Level1,Q162.MainChallengesOnFarm,Q162.MainChallengesOnFarm.Reponse1.Level1,Q162.MainChallengesOnFarm.Reponse1.Level2,Q162.MainChallengesOnFarm.Reponse1.Level3,Q162.MainChallengesOnFarm.Reponse2.Level1,Q162.MainChallengesOnFarm.Reponse2.Level2,Q162.MainChallengesOnFarm.Reponse2.Level3,Q162.MainChallengesOnFarm.Reponse3.Level1,Q162.MainChallengesOnFarm.Reponse3.Level2,Q162.MainChallengesOnFarm.Reponse3.Level3,Q162.MainChallengesOnFarm.Reponse4.Level1,Q162.MainChallengesOnFarm.Reponse4.Level2,Q163.SolutionsToAddressProblems,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q170.ChallengesOfSharingInfo.Reponse1.Level1,Q170.ChallengesOfSharingInfo.Reponse1.Level2,Q170.ChallengesOfSharingInfo.Reponse2.Level1,Q171.MakeSharingEasier,Q171.MakeSharingEasier.Response1.Level1,Q171.MakeSharingEasier.Response1.Level2,Q171.MakeSharingEasier.Response2.Level1,Q171.MakeSharingEasier.Response2.Level2,Q21.Income.Other,Q21.Income.Other.Reponse1.Level1,Q21.Income.Other.Reponse1.Level2,Q21.Income.Other.Reponse2.Level1,Q21.Income.Other.Reponse2.Level2,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q95.BankLoanFacilityChallenges,Q95.BankLoanFacilityChallenges.Reponse1.Level1,Q95.BankLoanFacilityChallenges.Reponse1.Level2,Q95.BankLoanFacilityChallenges.Reponse2.Level1,Q97.BankCreditChallenges,Q99.SACCOChallenges,Q99.SACCOChallenges.Reponse1.Level1,Q99.SACCOChallenges.Reponse1.Level2
157,,,,,,,,,,,,,,,,,,,,,LACK OF KNOWLEDGE ON NEW FARMING PRACTICES,Knowledge,Good agricultural practices,,,,,,,,,,,Of a successful farming practice that I implemented on my farm,,,,,Organising visits to demonstration farms for farmers,Demonstration Farm ,,,,,,,,,"Not enough fertilizer,drought",,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,LACK OF ENOUGH FINANCES,Finance,,,,,,,,,,,,A new farming practice that I have implemented,,,,,"Inviting trained personnel to come for the meetings,seeking assistance from the authorities for example chiefs when organising farmer meetings",Establish meetings,,Training,Training materials,,,,,,"Enough fertilizer,good weather",,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,"LESS KGS FROM TEA FARMING
SOIL EROSION IN THE FARM",Soil mangement,Soil erosion,,Crops,Low productivity,,,,,,,,A new farming practice that I have implemented in my farm,,,,,"Training materials,involving the administration such as chiefs when organising meetings with the farmers",Training materials,,Sensitization,chiefs,,,,,,"Use of sly from biogas,use of decomposed manure",,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,"NOT ENOUGH FERTILIZERS
INSUFFICIENT FUNDS",Inputs,Fertilizer,,Finance,,,,,,,,,Kitchen gardening,,,,,"Provision of funds for the farmers to make it easier for them to implement the training,stabilising the price for tea to help encourage the farmer to continue with the tea growing and do other changes",Training,,Funding,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,"Hailstorms
Drought
Frost
Insufficient funds
Soil erosion",Weather,Extreme,Hail,Weather,Drought,,Soil mangement,Soil erosion,,Finance,,,How to implement the new practise,,,,,"Organising seminars for farmers,Inviting trained personnel to train farmers in their farmers,Motivating farmers by stabilising prices for tea,Giving incentives for farmers and even the labourers",Training,,Funding,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,"Hailstorms
Cold weather
Lack of finances
Low kgs of tea",Weather,Extreme,Hail,Finance,,,Crops,Low productivity,,,,,"Storage of pesticides,how to dress when spraying,kitchen gardening,composting,water management",,,,,"Training so that you can be able to train other farmers,teaching farmers the importance of this practices",Training,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,"Hailstorms
Pests and diseases
Drought
Soil erosion which washes away fertilizers in tea farms",Weather,Extreme,Hail,Weather,Drought,,Soil mangement,Soil erosion,,Pests,,,A new farming practise that has helped to increase production,,,,,chief to sensitize farmers to come and learn together,Sensitization,chiefs,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,"Hailstorms
Frost
Drought
Pests and diseases especially in maize
Lack of enough capital",Weather,Extreme,Hail,Weather,Extreme,Frost,Weather,Drought,,Pests,,,Tea farming,,,,,"Seeking assistance from the chiefs in calling for meetings,looking for time that the farmers are not too busy to hold meetings",Training,,Sensitization,Chiefs,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,"Cold weather
Hailstorms
Prolonged drought making it hard for the farmer to repay loans because there is low yields from tea",Weather,Extreme,Hail,Weather,Drought,,,,,,,,"Growing of passion fruits,how to handle the suckers",,,,,"Organising visits for farmers to demonstration farms,providing funds for implementation of the project then use it to train others",Demonstration Farm ,,Funding,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,"Heavy rains,bad weather,pests and diseases",Weather,Rain,Heavy,Pests,,,,,,,,,How to expand market for tea and encourage other farmers to do so,,,,,"Build a green house so that it can be a training centre for other farmers because some crops don't do well in natural environment,provision of training materials such as magazines with information about farming",Demonstration Farm ,,Training materials,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,"Pests and diseases,Lack of finances,hailstorms,heavy rain,frost,drought",Pests,,,Weather,Extreme,Hail,Weather,Drought,,Finance,,,"Green house farming to increase food production,poultry keeping",,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,"Pests and diseases,drought,cold weather,Lack of enough finances",Pests,,,Weather,Drought,,Weather,Low temperatures,,Finance,,,Planting of traditional vegetables,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,"Drought,lack of finances",Weather,Drought,,Finance,,,,,,,,,"Spacing when planting tea,tree planting and what kinds of tree need to be planted near water sources,pruning",,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,"Drought,Frost,finances,hailstorms,heavy rains",Weather,Rain,Heavy,Weather,Extreme,Frost,Weather,Extreme,Hail,Weather,Drought,,A new farming practice that he has been taught and implemented it,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,"Funds,lack of training on some areas such as dairy farming,hailstorms,drought,pests",Finance,,,Training,,,,,,,,,"How to prevent soil erosion,tea farming and how to increase its produce",,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,"Cold weather,price fluctuations,prolonged drought,lack of enough funds",Weather,Low temperatures,,Prices,Price fluctuation,,Weather,Drought,,Finance,,,"Soil management,spacing in planting tea",,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,"Cold weather,prolonged drought,heavy rains,insufficient funds,pests and diseases,expensive fertilizers",Weather,Low temperatures,,Weather,Drought,,Pests,,,Finance,,,A new farming practise that I have implemented in my farm,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,"Prolonged drought,frost,lack of knowledge on what can do best in the soil because it has not been measured,pests and diseases,lack of enough training in coffee farming",Weather,Drought,,Weather,Extreme,Frost,Knowledge,,,Pests,,,installation of energy saving jiko(rocket stove),,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,"Frost,high cost of labour,prolonged drought,low yields,high cost of fertilizer and pesticides",Labour ,Costs,,Weather,Extreme,Frost,Weather,Drought,,Inputs,Fertilizer,,How to increase produce from tea farming,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,"Frost,hailstorms,prolonged drought,insufficient funds,high cost of labour",Weather,Extreme,Hail,Weather,Extreme,Frost,Weather,Drought,,Finance,,,Dairy farming and artificial insemination,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,"Frost,drought,hailstorms,pests and diseases,insufficient funds",Weather,Extreme,Frost,Weather,Drought,,Weather,Extreme,Hail,Finance,,,"Planting feeds such as fodder trees for the cattle instead of buying the feeds,diversification in farming,artificial insemination,biogas,zero grazing,hydroponic,use of non-soluble manure e.g sly from biogas instead of chemicals,arrowroot farming,crop rotation and how to maximise production from a small farm,grafting",,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,"Lack of training on how to,no market for some of the produce for example coffee,frost,hailstorms,heavy rains,price fluctuations,insufficient funds",Training ,,,,,,Prices,Price fluctuation,,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,"Inadequate fertilizer because it is expensive,hailstorms,frost,drought,pests and diseases,price fluctuations,sometimes the fertilizer is ineffective on tea farms,",Inputs,Fertilizer,Costs,Weather,Drought,,Weather,Extreme,Frost,Pests,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,"High cost of fertilizer hence insufficiency hence low yields of tea,hailstorms,drought,frost,insufficient funds for developing farms",Inputs,Fertilizer,Costs,Crops,Low productivity,,Weather,Extreme,Frost,Weather,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,"Prolonged drought,heavy rains,soil erosion,weeds,lack of funds to implement ideas,high cost of fertilizer,strong winds,high cost of labour in tea plucking",Weather,Drought,,Soil mangement,Soil erosion,,Labour ,Costs,,Finance,New ideas,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,"Drought,hailstorms,price fluctuations for tea,pests and diseases,lack of enough funds for development in farming,high cost of fertilizer,poor market for milk",Weather,Drought,,Prices,Price fluctuation,,Inputs,Fertilizer,Costs,Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,"electricity
weeds on tea farm 
low yield in poultry farming",Weeds,,,Electricity,,,Crops,Low productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,"Frost,hailstorms,drought,lack of enough funds for development,training",Weather,Extreme,Frost,Weather,Drought,,Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,"Hailstorms,frost,drought,lack of enough fertilizers,pests and diseases,insufficient funds,lack of enough training on how to,price fluctuations,water source is far",Weather,Extreme,Hail,Finance,,,Prices,Price fluctuation,,Pests,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,"Prolonged drought,hailstorms,frost,cold weather,pests and diseases,insufficient funds,lack of proper training,Weeds",Weather,Extreme,Hail,Weather,Drought,,Training ,,,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,"High cost of labour and fertilizer,frost,hailstorms,drought,poor market for bananas and ovacados,price fluctuations,lack of funds to implement some of the ideas,substandard feeds for cattle,substandard chemicals",Labour ,Costs,,Weather,Extreme,Hail,Markets,,,Inputs,Animal feed,,,,,,,,,,,,,,,,,,,,,,,,,,
